"country","iso2c","iso3c","year","status","lastupdated","GDP","Population","Life_Expectancy","Exports_of_GDP","Imports_of_GDP","Total_Exports","Total_Imports","region","capital","longitude","latitude","income","lending"
"Bangladesh","BD","BGD",1980,"","2024-12-16",18138049095.6072,88016432,51.85,5.49428379105126,17.8829473211837,996555891.472868,3243617764.85788,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",1981,"","2024-12-16",20249694002.448,90303105,52.169,5.13086315280464,14.1162959381044,1038984088.1273,2858506731.94614,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",1982,"","2024-12-16",18525399201.5968,92814507,52.54,5.07529986612758,15.5316243276076,940219560.878244,2877295409.18164,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",1983,"","2024-12-16",17609048821.5488,95335155,53.011,5.60384903116941,14.7130315900677,986784511.784512,2590824915.82492,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",1984,"","2024-12-16",18920840000,97814966,53.54,3.39625513455005,13.4154720403534,642600000,2538320000,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",1985,"","2024-12-16",22278423076.9231,100253825,53.897,5.38447860037049,12.8377060246289,1199576923.07692,2860038461.53846,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",1986,"","2024-12-16",21774033333.3333,102635572,54.415,5.18293196330185,11.8358105449764,1128533333.33333,2577133333.33333,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",1987,"","2024-12-16",24298032258.0645,104959291,54.926,4.99004963895921,11.6977479923371,1212483870.96774,2842322580.64516,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",1988,"","2024-12-16",26579005558.3652,107216008,55.027,5.42830096531266,12.2497633446486,1442788415.29524,3255865280.26073,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
"Bangladesh","BD","BGD",1989,"","2024-12-16",28781715188.8919,109433799,55.089,5.54014371794136,12.7850303011279,1594548385.95317,3679751008.08418,"South Asia","Dhaka","90.4113","23.7055","Lower middle income","IDA"
